feature,importance,operation
max_dim_10,0.007260572190875246,max
average_dim_10,0.006935647088393685,average
max_dim_78,0.006596617816646879,max
max_dim_41,0.005787310557029913,max
max_dim_62,0.005667803098448066,max
max_dim_116,0.0056624352955002575,max
max_dim_103,0.00521183003775201,max
max_dim_30,0.004920041190790938,max
average_dim_78,0.004754835032071405,average
max_dim_29,0.004538973296923875,max
max_dim_117,0.004519648176295002,max
max_dim_75,0.004217021236917107,max
max_dim_53,0.004158318488405192,max
max_dim_82,0.004061438840489295,max
hadamard_dim_78,0.004024427681841943,hadamard
max_dim_110,0.003949859378134874,max
average_dim_12,0.003904222910505293,average
max_dim_91,0.003803411332888025,max
max_dim_12,0.0037517667881254253,max
max_dim_114,0.003686195107660779,max
max_dim_111,0.003674811949123625,max
max_dim_80,0.003667538055162615,max
max_dim_70,0.0036422274670930015,max
max_dim_27,0.0035387540648049052,max
max_dim_83,0.0035063103111596734,max
max_dim_67,0.0034871243969416318,max
max_dim_34,0.003435252469170555,max
max_dim_109,0.003426210112852621,max
max_dim_119,0.0034257180920709857,max
max_dim_44,0.0033930902592543876,max
max_dim_88,0.0033784921720738745,max
max_dim_89,0.0033755829440906236,max
max_dim_63,0.003372949120088844,max
max_dim_36,0.003293858661517375,max
average_dim_111,0.0032678401998905513,average
max_dim_59,0.0032276615812899014,max
max_dim_95,0.0031920973535436233,max
max_dim_13,0.0031716171771019337,max
max_dim_86,0.0031572035364736796,max
max_dim_100,0.003156543833349025,max
average_dim_38,0.0031279037057890847,average
max_dim_120,0.0030868962386392663,max
max_dim_37,0.0030643323231773685,max
max_dim_112,0.00298791995473536,max
max_dim_31,0.0029827132279220655,max
max_dim_113,0.0029790887295740574,max
max_dim_54,0.002968496531977853,max
max_dim_47,0.002951684708483672,max
average_dim_53,0.0028840919644628443,average
max_dim_65,0.0028713814077185747,max
max_dim_108,0.0028699449706663864,max
max_dim_48,0.00286775889966376,max
hadamard_dim_119,0.002866859156113352,hadamard
hadamard_dim_111,0.0028658175297132118,hadamard
max_dim_94,0.002859299901461667,max
max_dim_74,0.002858644182443157,max
max_dim_9,0.002852679809365577,max
max_dim_7,0.002840912191551583,max
hadamard_dim_12,0.0028357771539903546,hadamard
max_dim_101,0.0028019795315083673,max
max_dim_50,0.002788710668933142,max
max_dim_92,0.002772992143111315,max
max_dim_79,0.0027591996414751984,max
max_dim_87,0.0027534203034786232,max
max_dim_124,0.0027206006732220177,max
hadamard_dim_83,0.0027116237097078127,hadamard
max_dim_121,0.0026940825867135063,max
max_dim_20,0.0026529329726969223,max
max_dim_6,0.0026426566413519535,max
max_dim_105,0.002630864555248279,max
max_dim_45,0.0025997363180370963,max
max_dim_35,0.0025982607385230073,max
hadamard_dim_30,0.002597050634672572,hadamard
max_dim_106,0.002593373326030703,max
max_dim_49,0.0025898917806723713,max
max_dim_2,0.0025741009726050895,max
max_dim_58,0.0025482587597233947,max
max_dim_19,0.0025480837839147374,max
